Rnd,Pick,Tm,Player,PlayerId,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,PassCmp,PassAtt,PassYds,PassTD,PassInt,RushAtt,RushYds,RushTD,Rec,RecYds,RecTD,SoloTak,Int,Sk,College/Univ,
1,1,CLE,Myles Garrett,GarrMy00,DE,21,2021,2,3,5,51,51,68,0,0,0,0,0,0,0,0,0,0,0,140,,58.5,Texas A&M,
1,2,CHI,Mitchell Trubisky,TrubMi00,QB,23,2021,0,1,4,33,33,57,1016,1585,10652,64,38,203,1081,9,0,0,0,,,,North Carolina,
1,3,SFO,Solomon Thomas,ThomSo00,DE,22,2021,0,0,2,16,15,65,0,0,0,0,0,0,0,0,0,0,0,90,,9.5,Stanford,
1,4,JAX,Leonard Fournette,FourLe00,RB,22,2021,0,0,4,32,20,63,0,1,0,0,0,943,3810,31,239,1696,4,,,,LSU,
1,5,TEN,Corey Davis,DaviCo03,WR,22,2021,0,0,4,28,25,65,0,0,0,0,0,6,55,0,241,3343,15,,,,Western Michigan,
1,6,NYJ,Jamal Adams,AdamJa00,S,21,2021,1,3,5,42,29,70,0,0,0,0,0,0,0,0,0,0,0,325,4,21.5,LSU,
1,7,LAC,Mike Williams,WillMi07,WR,22,2021,0,0,3,30,30,72,0,0,0,0,0,9,31,1,227,3662,26,,1,,Clemson,
1,8,CAR,Christian McCaffrey,McCaCh01,RB,21,2021,1,1,3,45,45,58,1,3,50,1,0,781,3587,30,357,3015,17,1,,,Stanford,
1,9,CIN,John Ross,RossJo00,WR,21,2021,0,0,1,7,5,37,0,0,0,0,0,9,41,0,62,957,11,,,,Washington,
1,10,KAN,Patrick Mahomes,MahoPa00,QB,21,2021,1,4,4,70,70,63,1550,2345,18991,151,37,238,1189,8,0,0,0,1,,,Texas Tech,
1,11,NOR,Marshon Lattimore,LattMa01,CB,21,2021,0,4,5,35,35,73,0,0,0,0,0,0,0,0,0,0,0,245,13,,Ohio St.,
1,12,HOU,Deshaun Watson,WatsDe00,QB,21,2020,0,3,3,52,52,54,1186,1748,14539,104,36,307,1677,17,1,6,1,,,,Clemson,
1,13,ARI,Haason Reddick,ReddHa00,LB,22,2021,0,0,3,23,16,80,0,0,0,0,0,0,0,0,0,0,0,199,,31.0,Temple,
1,14,PHI,Derek Barnett,BarnDe01,DE,21,2021,0,0,3,22,22,64,0,0,0,0,0,0,0,0,0,0,0,95,,21.5,Tennessee,
1,15,IND,Malik Hooker,HookMa00,S,21,2021,0,0,3,15,13,51,0,0,0,0,0,0,0,0,0,0,0,111,8,,Ohio St.,
1,16,BAL,Marlon Humphrey,HumpMa00,CB,21,2021,1,2,4,36,36,73,0,0,0,0,0,0,0,0,0,0,0,228,9,2.5,Alabama,
1,17,WAS,Jonathan Allen,AlleJo01,DE,22,2021,0,1,4,33,33,69,0,0,0,0,0,0,0,0,0,0,0,151,,26.0,Alabama,
1,18,TEN,Adoree' Jackson,JackAd00,CB,21,2021,0,0,4,19,15,59,0,0,0,0,0,5,55,0,0,0,0,223,3,,USC,
1,19,TAM,O.J. Howard,HowaO.00,TE,22,2021,0,0,3,12,12,59,0,0,0,0,0,0,0,0,119,1737,15,,,,Alabama,
1,20,DEN,Garett Bolles,BollGa00,T,25,2021,0,0,5,33,33,77,0,0,0,0,0,0,0,0,0,0,0,,,,Utah,
1,21,DET,Jarrad Davis,DaviJa01,LB,22,2021,0,0,3,22,20,64,0,0,0,0,0,0,0,0,0,0,0,219,1,10.5,Florida,
1,22,MIA,Charles Harris,HarrCh03,OLB,22,2021,0,0,1,12,5,71,0,0,0,0,0,0,0,0,0,0,0,76,,14.0,Missouri,
1,23,NYG,Evan Engram,EngrEv00,TE,23,2021,0,1,5,20,20,65,0,0,0,0,0,14,80,1,262,2828,16,,,,Mississippi,
1,24,OAK,Gareon Conley,ConlGa00,CB,22,2019,0,0,1,9,7,31,0,0,0,0,0,0,0,0,0,0,0,65,4,,Ohio St.,
1,25,CLE,Jabrill Peppers,PeppJa00,S,21,2021,0,0,4,22,12,61,0,0,0,0,0,0,0,0,0,0,0,224,4,4.5,Michigan,
1,26,ATL,Takkarist McKinley,McKiTa00,DE,21,2021,0,0,2,15,13,60,0,0,0,0,0,0,0,0,0,0,0,63,,20.0,UCLA,
1,27,BUF,Tre'Davious White,WhitTr01,CB,22,2021,1,2,5,45,45,72,0,0,0,0,0,0,0,0,0,0,0,216,16,3.0,LSU,
1,28,DAL,Taco Charlton,CharTa00,DE,22,2021,0,0,0,9,6,55,0,0,0,0,0,0,0,0,0,0,0,53,,11.5,Michigan,
1,29,CLE,David Njoku,NjokDa00,TE,21,2021,0,0,2,12,12,65,0,0,0,0,0,2,2,0,148,1754,15,2,,,Miami (FL),
1,30,PIT,T.J. Watt,WattT.00,OLB,22,2021,3,4,5,60,60,77,0,0,0,0,0,0,0,0,0,0,0,216,4,72.0,Wisconsin,
1,31,SFO,Reuben Foster,FostRe00,LB,23,2018,0,0,2,8,8,16,0,0,0,0,0,0,0,0,0,0,0,84,,,Alabama,
1,32,NOR,Ryan Ramczyk,RamcRy00,T,23,2021,1,0,4,55,55,73,0,0,0,0,0,0,0,0,0,0,0,,,,Wisconsin,
2,33,GNB,Kevin King,KingKe01,CB,22,2021,0,0,3,15,15,51,0,0,0,0,0,0,0,0,0,0,0,158,7,1.0,Washington,
2,34,JAX,Cam Robinson,RobiCa00,T,21,2021,0,0,4,25,25,61,0,0,0,0,0,0,0,0,0,0,0,,,,Alabama,
2,35,SEA,Malik McDowell,McDoMa00,DT,21,2021,0,0,1,6,,15,0,0,0,0,0,0,0,0,0,0,0,19,,3.0,Michigan St.,
2,36,ARI,Budda Baker,BakeBu00,S,21,2021,2,4,4,42,42,78,0,0,0,0,0,0,0,0,0,0,0,393,5,7.5,Washington,
2,37,BUF,Zay Jones,JoneZa00,WR,22,2021,0,0,2,15,9,79,1,2,29,0,0,4,6,0,171,1884,11,3,,,East Carolina,
2,38,LAC,Forrest Lamp,LampFo00,G,23,2021,0,0,1,8,8,26,0,0,0,0,0,0,0,0,0,0,0,,,,Western Kentucky,
2,39,NYJ,Marcus Maye,MayeMa00,S,24,2021,0,0,4,21,21,60,0,0,0,0,0,0,0,0,0,0,0,219,6,3.5,Florida,
2,40,CAR,Curtis Samuel,SamuCu00,WR,21,2021,0,0,3,18,18,58,0,0,0,0,0,76,489,5,191,2114,14,5,,,Ohio St.,
2,41,MIN,Dalvin Cook,CookDa01,RB,22,2021,0,3,4,44,44,56,0,0,0,0,0,1018,4820,39,182,1499,3,,,,Florida St.,
2,42,NOR,Marcus Williams,WillMa06,S,20,2021,0,0,5,24,24,76,0,0,0,0,0,0,0,0,0,0,0,239,15,1.0,Utah,
2,43,PHI,Sidney Jones,JoneSi00,CB,21,2021,0,0,2,10,5,47,0,0,0,0,0,0,0,0,0,0,0,108,4,,Washington,
2,44,LAR,Gerald Everett,EverGe00,TE,23,2021,0,0,1,16,11,76,0,0,0,0,0,8,51,1,175,1867,12,,,,South Alabama,
2,45,CHI,Adam Shaheen,ShahAd00,TE,22,2021,0,0,1,4,2,55,0,0,0,0,0,0,0,0,50,509,7,1,,,Ashland,
2,46,IND,Quincy Wilson,WilsQu01,CB,21,2020,0,0,0,4,4,32,0,0,0,0,0,0,0,0,0,0,0,49,2,,Florida,
2,47,BAL,Tyus Bowser,BowsTy00,OLB,22,2021,0,0,1,17,17,80,0,0,0,0,0,0,0,0,0,0,0,85,4,17.5,Houston,
2,48,CIN,Joe Mixon,MixoJo00,RB,21,2021,0,1,3,35,35,66,0,0,0,0,0,1104,4564,33,171,1322,8,,,,Oklahoma,
2,49,WAS,Ryan Anderson,AndeRy00,OLB,23,2020,0,0,0,6,6,52,0,0,0,0,0,0,0,0,0,0,0,55,,6.0,Alabama,
2,50,TAM,Justin Evans,EvanJu00,S,22,2018,0,0,2,8,8,24,0,0,0,0,0,0,0,0,0,0,0,93,4,,Texas A&M,
2,51,DEN,DeMarcus Walker,WalkDe03,DE,22,2021,0,0,0,8,7,49,0,0,0,0,0,0,0,0,0,0,0,52,,12.5,Florida St.,
2,52,CLE,DeShone Kizer,KizeDe00,QB,21,2018,0,0,1,6,5,18,275,518,3081,11,24,82,458,5,0,0,0,,,,Notre Dame,
2,53,DET,Teez Tabor,TaboTe00,CB,21,2021,0,0,0,4,3,28,0,0,0,0,0,0,0,0,0,0,0,42,,,Florida,
2,54,MIA,Raekwon McMillan,McMiRa02,LB,21,2020,0,0,2,11,9,45,0,0,0,0,0,0,0,0,0,0,0,121,,,Ohio St.,
2,55,NYG,Dalvin Tomlinson,TomlDa00,DT,23,2021,0,0,5,31,25,80,0,0,0,0,0,0,0,0,0,0,0,123,,10.5,Alabama,
2,56,OAK,Obi Melifonwu,MeliOb00,S,23,2018,0,0,0,1,1,7,0,0,0,0,0,0,0,0,0,0,0,9,,,Connecticut,
2,57,HOU,Zach Cunningham,CunnZa00,LB,22,2021,0,0,4,27,30,76,0,0,0,0,0,0,0,0,0,0,0,377,1,6.5,Vanderbilt,
2,58,SEA,Ethan Pocic,PociEt00,C,22,2021,0,0,1,20,20,57,0,0,0,0,0,0,0,0,0,0,0,,,,LSU,
2,59,KAN,Tanoh Kpassagnon,KpasTa00,DE,23,2021,0,0,2,17,14,69,0,0,0,0,0,0,0,0,0,0,0,66,,11.0,Villanova,
2,60,DAL,Chidobe Awuzie,AwuzCh00,CB,22,2021,0,0,3,19,15,63,0,0,0,0,0,0,0,0,0,0,0,201,6,,Colorado,
2,61,GNB,Josh Jones,JoneJo06,S,22,2021,0,0,1,9,5,58,0,0,0,0,0,0,0,0,0,0,0,170,2,3.0,North Carolina St.,
2,62,PIT,JuJu Smith-Schuster,SmitJu00,WR,20,2021,0,1,3,31,31,63,0,0,0,0,0,4,22,1,323,3855,26,,,,USC,
2,63,BUF,Dion Dawkins,DawkDi00,G,23,2021,0,1,5,35,35,80,0,0,0,0,0,0,0,0,2,8,2,1,,,Temple,
2,64,CAR,Taylor Moton,MotoTa00,G,23,2021,0,0,4,28,28,81,0,0,0,0,0,0,0,0,0,0,0,,,,Western Michigan,
3,65,CLE,Larry Ogunjobi,OgunLa00,DT,23,2021,0,0,4,29,21,76,0,0,0,0,0,0,0,0,0,0,0,137,,21.5,Charlotte,
