Rnd,Pick,Tm,Player,PlayerId,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,PassCmp,PassAtt,PassYds,PassTD,PassInt,RushAtt,RushYds,RushTD,Rec,RecYds,RecTD,SoloTak,Int,Sk,College/Univ,
1,1,JAX,Trevor Lawrence,LawrTr00,QB,21,2021,0,0,1,7,7,17,359,602,3641,12,17,73,334,2,0,0,0,2,,,Clemson,
1,2,NYJ,Zach Wilson,WilsZa00,QB,22,2021,0,0,1,5,5,13,213,383,2334,9,11,29,185,4,0,0,0,,,,BYU,
1,3,SFO,Trey Lance,LancTr00,QB,21,2021,0,0,0,3,3,6,41,71,603,5,2,38,168,1,0,0,0,,,,North Dakota St.,
1,4,ATL,Kyle Pitts,PittKy00,TE,20,2021,0,1,1,8,8,17,0,0,0,0,0,0,0,0,68,1026,1,3,,,Florida,
1,5,CIN,Ja'Marr Chase,ChasJa00,WR,21,2021,0,1,1,13,13,17,0,0,0,0,0,7,21,0,81,1455,13,2,,,LSU,
1,6,MIA,Jaylen Waddle,WaddJa00,WR,22,2021,0,0,1,7,7,16,0,0,0,0,0,2,3,1,104,1015,6,3,,,Alabama,
1,7,DET,Penei Sewell,SewePe00,OL,20,2021,0,0,1,7,7,16,0,0,0,0,0,0,0,0,0,0,0,,,,Oregon,
1,8,CAR,Jaycee Horn,HornJa00,DB,21,2021,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,3,1,,South Carolina,
1,9,DEN,Patrick Surtain II,SurtPa01,DB,21,2021,0,0,1,7,7,16,0,0,0,0,0,0,0,0,0,0,0,45,4,,Alabama,
1,10,PHI,DeVonta Smith,SmitDe07,WR,22,2021,0,0,1,10,10,17,0,0,0,0,0,0,0,0,64,916,5,1,,,Alabama,
1,11,CHI,Justin Fields,FielJu00,QB,22,2021,0,0,0,6,6,12,159,270,1870,7,10,72,420,2,0,0,0,,,,Ohio St.,
1,12,DAL,Micah Parsons,ParsMi00,LB,22,2021,1,1,1,18,18,16,0,0,0,0,0,0,0,0,0,0,0,64,,13.0,Penn St.,
1,13,LAC,Rashawn Slater,SlatRa00,OL,22,2021,0,1,1,14,14,16,0,0,0,0,0,0,0,0,0,0,0,,,,Northwestern,
1,14,NYJ,Alijah Vera-Tucker,VeraAl00,OL,22,2021,0,0,1,5,5,16,0,0,0,0,0,0,0,0,0,0,0,,,,USC,
1,15,NWE,Mac Jones,JoneMa05,QB,23,2021,0,1,1,14,14,17,352,521,3801,22,13,44,129,0,0,0,0,1,,,Alabama,
1,16,ARI,Zaven Collins,CollZa00,LB,22,2021,0,0,0,3,3,17,0,0,0,0,0,0,0,0,0,0,0,13,,,Tulsa,
1,17,LVR,Alex Leatherwood,LeatAl00,OL,22,2021,0,0,1,8,8,17,0,0,0,0,0,0,0,0,0,0,0,,,,Alabama,
1,18,MIA,Jaelan Phillips,PhilJa02,DL,22,2021,0,0,0,5,5,17,0,0,0,0,0,0,0,0,0,0,0,23,,8.5,Miami (FL),
1,19,WAS,Jamin Davis,DaviJa11,LB,22,2021,0,0,0,4,4,16,0,0,0,0,0,0,0,0,0,0,0,48,,1.0,Kentucky,
1,20,NYG,Kadarius Toney,ToneKa00,WR,22,2021,0,0,0,3,3,10,1,3,19,0,0,3,6,0,39,420,0,,,,Florida,
1,21,IND,Kwity Paye,PayeKw00,DL,22,2021,0,0,1,7,7,15,0,0,0,0,0,0,0,0,0,0,0,16,,4.0,Michigan,
1,22,TEN,Caleb Farley,FarlCa00,DB,22,2021,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,,,Virginia Tech,
1,23,MIN,Christian Darrisaw,DarrCh00,OL,22,2021,0,0,0,5,5,12,0,0,0,0,0,0,0,0,0,0,0,,,,Virginia Tech,
1,24,PIT,Najee Harris,HarrNa00,RB,23,2021,0,1,1,10,10,17,0,0,0,0,0,307,1200,7,74,467,3,2,,,Alabama,
1,25,JAX,Travis Etienne,EtieTr00,RB,22,,0,0,0,,,,,,,,,,,,,,,,,,Clemson,
1,26,CLE,Greg Newsome II,NewsGr00,DB,21,2021,0,0,1,3,3,12,0,0,0,0,0,0,0,0,0,0,0,33,,,Northwestern,
1,27,BAL,Rashod Bateman,BateRa00,WR,21,2021,0,0,0,4,4,12,0,0,0,0,0,0,0,0,46,515,1,,,,Minnesota,
1,28,NOR,Payton Turner,TurnPa02,DE,23,2021,0,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,9,,1.0,Houston,
1,29,GNB,Eric Stokes,StokEr00,DB,22,2021,0,0,1,4,4,16,0,0,0,0,0,0,0,0,0,0,0,43,1,,Georgia,
1,30,BUF,Gregory Rousseau,RousGr00,DL,21,2021,0,0,1,10,10,17,0,0,0,0,0,0,0,0,0,0,0,42,1,4.0,Miami (FL),
1,31,BAL,Odafe Oweh,OwehJa00,DE,22,2021,0,0,0,3,3,15,0,0,0,0,0,0,0,0,0,0,0,23,,5.0,Penn St.,
1,32,TAM,Joe Tryon-Shoyinka,TryoJo00,OLB,22,2021,0,0,0,4,4,17,0,0,0,0,0,0,0,0,0,0,0,21,,4.0,Washington,
2,33,JAX,Tyson Campbell,CampTy01,DB,21,2021,0,0,1,5,5,15,0,0,0,0,0,0,0,0,0,0,0,49,2,,Georgia,
2,34,NYJ,Elijah Moore,MoorEl00,WR,21,2021,0,0,0,4,4,11,0,0,0,0,0,5,54,1,43,538,5,3,,,Mississippi,
2,35,DEN,Javonte Williams,WillJa10,RB,21,2021,0,0,0,8,8,17,0,0,0,0,0,203,903,4,43,316,3,1,,,North Carolina,
2,36,MIA,Jevon Holland,HollJe02,S,21,2021,0,0,1,6,6,16,0,0,0,0,0,0,0,0,0,0,0,48,2,2.5,Oregon,
2,37,PHI,Landon Dickerson,DickLa00,OL,22,2021,0,0,1,6,6,14,0,0,0,0,0,0,0,0,0,0,0,,,,Alabama,
2,38,NWE,Christian Barmore,BarmCh00,DL,22,2021,0,0,0,3,3,17,0,0,0,0,0,0,0,0,0,0,0,23,,1.5,Alabama,
2,39,CHI,Teven Jenkins,JenkTe00,OL,23,2021,0,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,,,,Oklahoma St.,
2,40,ATL,Richie Grant,GranRi00,DB,23,2021,0,0,0,1,1,16,0,0,0,0,0,0,0,0,0,0,0,28,,,Central Florida,
2,41,DET,Levi Onwuzurike,OnwuLe00,DL,23,2021,0,0,0,1,1,16,0,0,0,0,0,0,0,0,0,0,0,15,,1.0,Washington,
2,42,MIA,Liam Eichenberg,EichLi00,OL,23,2021,0,0,1,7,7,17,0,0,0,0,0,0,0,0,0,0,0,,,,Notre Dame,
2,43,LVR,Trevon Moehrig,MoehTr00,S,22,2021,0,0,1,5,5,17,0,0,0,0,0,0,0,0,0,0,0,36,1,,TCU,
2,44,DAL,Kelvin Joseph,JoseKe02,DB,20,2021,0,0,0,1,1,10,0,0,0,0,0,0,0,0,0,0,0,13,,,Kentucky,
2,45,JAX,Walker Little,LittWa00,T,22,2021,0,0,0,1,1,9,0,0,0,0,0,0,0,0,0,0,0,,,,Stanford,
2,46,CIN,Jackson Carman,CarmJa00,T,21,2021,0,0,0,4,4,17,0,0,0,0,0,0,0,0,0,0,0,,,,Clemson,
2,47,LAC,Asante Samuel Jr.,SamuAs00,DB,21,2021,0,0,1,3,3,12,0,0,0,0,0,0,0,0,0,0,0,33,2,,Florida St.,
2,48,SFO,Aaron Banks,BankAa00,OL,24,2021,0,0,0,1,1,9,0,0,0,0,0,0,0,0,0,0,0,,,,Notre Dame,
2,49,ARI,Rondale Moore,MoorRo02,WR,21,2021,0,0,0,5,5,14,0,0,0,0,0,18,76,0,54,435,1,1,,,Purdue,
2,50,NYG,Azeez Ojulari,OjulAz00,OLB,21,2021,0,0,1,7,7,17,0,0,0,0,0,0,0,0,0,0,0,29,,8.0,Georgia,
2,51,WAS,Samuel Cosmi,CosmSa00,OL,22,2021,0,0,0,4,4,9,0,0,0,0,0,0,0,0,0,0,0,,,,Texas,
2,52,CLE,Jeremiah Owusu-Koramoah,OwusJe00,LB,21,2021,0,0,0,4,4,14,0,0,0,0,0,0,0,0,0,0,0,49,,1.5,Notre Dame,
2,53,TEN,Dillon Radunz,RaduDi00,T,23,2021,0,0,0,1,1,12,0,0,0,0,0,0,0,0,0,0,0,1,,,North Dakota St.,
2,54,IND,Dayo Odeyingbo,OdeyDa00,DL,21,2021,0,0,0,1,1,10,0,0,0,0,0,0,0,0,0,0,0,5,,0.5,Vanderbilt,
2,55,PIT,Pat Freiermuth,FreiPa00,TE,22,2021,0,0,0,4,4,16,0,0,0,0,0,0,0,0,60,497,7,1,,,Penn St.,
2,56,SEA,D'Wayne Eskridge,EskrDW00,WR,24,2021,0,0,0,1,1,10,0,0,0,0,0,4,59,0,10,64,1,,,,Western Michigan,
2,57,LAR,Tutu Atwell,AtweTu00,WR,21,2021,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,,,,Louisville,
2,58,KAN,Nick Bolton,BoltNi00,LB,21,2021,0,0,1,6,6,16,0,0,0,0,0,0,0,0,0,0,0,70,,,Missouri,
2,59,CAR,Terrace Marshall Jr.,MarsTe00,WR,21,2021,0,0,0,1,1,13,0,0,0,0,0,0,0,0,17,138,0,,,,LSU,
2,60,NOR,Pete Werner,WernPe00,LB,22,2021,0,0,0,5,5,15,0,0,0,0,0,0,0,0,0,0,0,36,,,Ohio St.,
2,61,BUF,Boogie Basham,BashCa00,DL,23,2021,0,0,0,1,1,8,0,0,0,0,0,0,0,0,0,0,0,11,,2.5,Wake Forest,
2,62,GNB,Josh Myers,MyerJo00,C,23,2021,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,0,0,,,,Ohio St.,
2,63,KAN,Creed Humphrey,HumpCr00,OL,22,2021,0,0,1,9,9,17,0,0,0,0,0,0,0,0,0,0,0,1,,,Oklahoma,
2,64,TAM,Kyle Trask,TrasKy00,QB,23,,0,0,0,,,,,,,,,,,,,,,,,,Florida,
3,65,JAX,Andre Cisco,CiscAn00,DB,21,2021,0,0,0,2,2,17,0,0,0,0,0,0,0,0,0,0,0,19,,,Syracuse,
3,66,MIN,Kellen Mond,MondKe00,QB,22,2021,0,0,0,0,0,1,2,3,5,0,0,0,0,0,0,0,0,,,,Texas A&M,
3,67,HOU,Davis Mills,MillDa02,QB,22,2021,0,0,1,7,7,13,263,394,2664,16,10,18,44,0,0,0,0,,,,Stanford,
3,68,ATL,Jalen Mayfield,MayfJa00,OL,21,2021,0,0,1,7,7,16,0,0,0,0,0,0,0,0,0,0,0,,,,Michigan,
3,69,CIN,Joseph Ossai,OssaJo00,LB,21,,0,0,0,,,,,,,,,,,,,,,,,,Texas,
3,70,CAR,Brady Christensen,ChriBr00,OL,24,2021,0,0,0,3,3,16,0,0,0,0,0,0,0,0,0,0,0,1,,,BYU,
3,71,NYG,Aaron Robinson,RobiAa00,DB,23,2021,0,0,0,1,1,9,0,0,0,0,0,0,0,0,0,0,0,16,,,Central Florida,
3,72,DET,Alim McNeill,McNeAl00,DT,21,2021,0,0,0,3,3,17,0,0,0,0,0,0,0,0,0,0,0,15,,2.0,North Carolina St.,
3,73,PHI,Milton Williams,WillMi08,DL,22,2021,0,0,0,2,2,17,0,0,0,0,0,0,0,0,0,0,0,15,,2.0,Louisiana Tech,
3,74,WAS,Benjamin St-Juste,StJuBe00,DB,23,2021,0,0,0,1,1,9,0,0,0,0,0,0,0,0,0,0,0,20,,,Minnesota,
3,75,DAL,Osa Odighizuwa,OdigOs00,DL,23,2021,0,0,1,6,6,16,0,0,0,0,0,0,0,0,0,0,0,21,,2.0,UCLA,
3,76,NOR,Paulson Adebo,AdebPa00,CB,22,2021,0,0,1,6,6,17,0,0,0,0,0,0,0,0,0,0,0,55,3,,Stanford,
