"","Team","Season","Minutes","Goals AddedF","Goals AddedA","Goals Added diff","ShootingF","ReceivingF","DribblingF","PassingF","FoulingF","InterruptingF","ShootingA","ReceivingA","DribblingA","PassingA","FoulingA","InterruptingA"
"","NCO","2022","1618","24.99","18.65","6.34","5.17","12.89","-0.41","5.71","1.63","6.62","3.92","8.41","1.00","4.00","1.32","10.28"
"","TRM","2022","1600","22.07","17.49","4.57","5.58","11.16","-0.46","4.81","0.97","6.86","3.67","7.77","0.30","4.27","1.48","8.51"
"","GVL","2022","1698","22.39","18.39","4.00","5.77","10.11","0.55","4.51","1.45","8.47","3.90","10.92","-1.46","3.63","1.40","7.01"
"","OMA","2022","1311","15.03","11.23","3.80","3.23","7.80","-0.14","2.97","1.18","4.30","2.41","5.90","-0.14","2.07","0.99","5.22"
"","RIC","2022","1609","20.69","20.13","0.56","4.91","8.80","1.54","4.64","0.80","9.39","5.14","9.89","0.78","3.12","1.20","5.79"
"","MAD","2022","1516","14.04","14.84","-0.80","3.44","7.17","-0.17","2.63","0.98","7.06","4.41","7.02","-1.20","3.84","0.76","6.28"
"","NC","2022","1511","15.48","17.77","-2.29","3.44","7.21","-0.33","3.12","2.04","5.86","4.57","9.07","0.57","2.38","1.19","5.48"
"","CHA","2022","1600","15.64","18.35","-2.71","4.05","6.05","0.96","2.46","2.12","7.47","3.99","9.65","-0.76","3.62","1.84","5.21"
"","CLT","2022","1610","19.63","23.38","-3.75","4.40","9.67","-0.10","4.18","1.49","7.15","5.56","9.87","2.17","3.98","1.79","8.33"
"","CV","2022","1515","15.19","19.13","-3.93","3.37","8.55","0.49","1.88","0.90","5.45","4.36","8.49","0.15","4.51","1.62","7.72"
"","TUC","2022","1498","14.26","20.05","-5.79","3.45","7.95","-0.35","2.09","1.12","8.43","4.87","10.37","0.16","3.57","1.08","7.25"
