"","Player","Team","Season","Minutes","Shots Faced","Goals Conceded","Saves","Header %","xG","G-xG","G/xG"
"","Noah Abrams","CLT","2022","99","9","2","7","11.1%","3.73","-1.73","0.54"
"","Paul Christensen","GVL","2022","1685","61","18","42","26.2%","19.56","-1.56","0.92"
"","Akira Fitzgerald","RIC","2022","1596","63","17","46","19.1%","18.35","-1.35","0.93"
"","Raiko Arozarena","MAD","2022","98","5","0","5","0.0%","1.07","-1.07","0.00"
"","Adrián Zendejas","CLT","2022","903","34","11","22","20.6%","11.83","-0.83","0.93"
"","Daniel Faundez","NCO","2022","100","6","1","4","16.7%","1.76","-0.76","0.57"
"","Mitchell North","CV","2022","97","4","1","3","0.0%","1.27","-0.27","0.79"
"","Rashid Nuhu","OMA","2022","1055","27","7","20","18.5%","7.06","-0.06","0.99"
"","Austin Causey","RIC","2022","3","0","0","0","0.0%","0.00","0.00","0.00"
"","TJ Bush","TRM","2022","96","0","0","0","0.0%","0.00","0.00","0.00"
"","Taylor Bailey","MAD","2022","99","4","1","3","0.0%","0.95","0.05","1.06"
"","Parker Smith","MAD","2022","103","4","1","3","0.0%","0.94","0.06","1.07"
"","Derrek Chan","CLT","2022","100","8","4","4","25.0%","3.53","0.47","1.13"
"","Nicholas Holliday","NC","2022","302","10","4","6","10.0%","2.88","1.12","1.39"
"","Tor Saunders","CHA","2022","150","9","4","4","22.2%","2.76","1.24","1.45"
"","Kevin Piedrahita","OMA","2022","251","5","3","2","60.0%","1.61","1.39","1.87"
"","Johan Penaranda","NCO","2022","546","21","6","12","9.5%","4.41","1.59","1.36"
"","Ofek Antman","CV","2022","1410","62","18","44","8.1%","16.20","1.80","1.11"
"","Carlos Avilez","CHA","2022","1450","44","18","22","18.2%","16.02","1.98","1.12"
"","Dane Jacomen","CLT","2022","198","16","9","7","6.3%","6.29","2.71","1.43"
"","Keegan Meyer","CLT","2022","305","12","6","6","8.3%","2.87","3.13","2.09"
"","Thomas Olsen","NCO","2022","971","38","16","22","13.2%","11.72","4.28","1.37"
"","Carlos Merancio Valdez","TUC","2022","1485","57","23","34","12.3%","18.55","4.45","1.24"
"","Phil Breno","MAD","2022","1202","53","21","31","30.2%","15.63","5.37","1.34"
"","Pablo Jara","TRM","2022","1493","57","24","32","22.8%","18.47","5.53","1.30"
"","Will Pulisic","NC","2022","1199","55","21","34","16.4%","14.90","6.10","1.41"
