"","Player","Team","Season","Position","Minutes","Dribbling","Fouling","Interrupting","Passing","Receiving","Shooting","Goals Added"
"","Tresor Mbuyu","CLT","2022","W","1103","0.76","0.48","0.35","-0.27","0.24","0.27","1.82"
"","Jonathan Bolanos","RIC","2022","W","816","0.60","0.03","0.23","-0.06","0.61","0.27","1.68"
"","Jalen Crisler","RIC","2022","CB","1476","0.21","0.17","0.72","-0.04","0.42","0.19","1.67"
"","Arthur Rogers","NCO","2022","FB","1588","0.24","0.33","0.15","1.28","-0.23","-0.10","1.67"
"","Jerry Desdunes","NCO","2022","W","770","0.26","0.22","0.23","0.28","0.48","0.05","1.52"
"","Rafael Mentzingen","CHA","2022","W","1372","0.93","0.24","0.36","-0.47","-0.03","0.44","1.47"
"","Allen Gavilanes","GVL","2022","W","1258","0.51","0.31","-0.03","0.23","0.18","0.17","1.38"
"","Jacob Labovitz","GVL","2022","ST","869","-0.43","0.08","-0.03","-0.24","1.37","0.60","1.35"
"","Christian Chaney","CV","2022","ST","679","0.10","-0.01","0.41","-0.30","0.91","0.24","1.35"
"","Trevor Amann","NCO","2022","ST","860","-0.16","-0.10","-0.05","0.09","1.43","0.13","1.34"
"","Luca Mastrantonio","TUC","2022","CB","1485","0.11","0.07","0.27","0.30","0.36","0.16","1.26"
"","Jordan Skelton","NC","2022","CB","1501","0.17","-0.07","0.62","0.45","-0.04","-0.00","1.13"
"","Kazaiah Sterling","TRM","2022","ST","803","0.40","0.21","0.02","0.20","0.04","0.21","1.08"
"","Brecc Evans","NCO","2022","CB","1423","0.46","0.12","-0.03","0.45","-0.04","0.10","1.06"
"","Arthur Bosua","TRM","2022","ST","523","-0.01","-0.03","-0.11","0.15","0.82","0.19","1.00"
"","Lachlan McLean","NCO","2022","W","778","-0.01","-0.08","-0.11","0.26","0.75","0.15","0.97"
"","Jake Dengler","TRM","2022","CB","1589","-0.15","-0.12","0.24","0.64","0.10","0.19","0.89"
"","Irvin Parra","NCO","2022","ST","1377","-0.80","0.05","-0.07","0.60","0.91","0.16","0.86"
"","John Scearce","OMA","2022","CM","997","0.11","0.07","0.09","0.25","0.25","0.06","0.82"
"","Oalex Anderson","NC","2022","ST","947","0.37","0.66","-0.31","-0.18","0.26","0.01","0.82"
"","Stefan Lukic","NCO","2022","CM","665","0.13","-0.05","-0.14","0.57","0.16","0.12","0.80"
"","Rojay Smith","MAD","2022","FB","530","0.76","-0.02","-0.10","-0.01","-0.01","0.18","0.78"
"","Nathan Aune","RIC","2022","CB","1161","-0.11","0.16","0.58","0.09","0.03","-0.02","0.73"
"","Owayne Omar Gordon","RIC","2022","W","482","0.50","-0.29","0.00","-0.17","0.50","0.13","0.68"
"","Khori Bennett","CLT","2022","ST","1040","-0.09","-0.14","0.09","-0.42","1.05","0.18","0.68"
"","Villyan Bijev","CV","2022","ST","1305","0.43","0.10","-0.04","0.05","0.02","0.13","0.68"
"","José Carrera-Garcia","CHA","2022","DM","1496","0.19","0.54","0.01","0.11","-0.21","0.03","0.68"
"","Mitchell Osmond","MAD","2022","CB","1403","-0.11","0.10","0.19","0.81","-0.17","-0.14","0.68"
"","Barry Sharifi","TRM","2022","DM","522","0.01","-0.04","-0.09","0.04","0.41","0.31","0.65"
"","Daniel Bedoya","TUC","2022","CM","805","0.04","-0.03","0.22","0.62","-0.16","-0.07","0.62"
"","Don Smart","GVL","2022","CM","1329","0.24","-0.09","0.20","0.52","-0.17","-0.13","0.57"
"","Donny Toia","TUC","2022","W","116","-0.08","-0.01","0.06","-0.09","0.51","0.15","0.54"
"","Jimmie Villalobos","CHA","2022","DM","1134","0.06","0.00","0.30","0.26","-0.06","-0.03","0.54"
"","Miguel Ibarra","CLT","2022","FB","1173","-0.06","0.02","0.17","0.83","-0.20","-0.22","0.53"
"","Evan Lee","GVL","2022","CB","1485","0.25","0.37","0.39","-0.15","-0.27","-0.05","0.52"
"","Gabriel de Freitas","TRM","2022","CM","1544","0.19","-0.01","0.10","0.17","0.01","0.02","0.49"
"","Diego Casillas","CV","2022","W","772","-0.03","0.08","-0.15","0.37","0.24","-0.03","0.47"
"","James Filerman","GVL","2022","FB","712","-0.08","0.02","0.26","0.22","-0.09","0.13","0.46"
"","Carson Talboys","CLT","2022","CB","1389","-0.09","0.15","0.11","0.17","0.08","0.03","0.45"
"","Matthew Bolduc","RIC","2022","W","375","-0.40","-0.03","0.06","0.01","0.68","0.09","0.41"
"","Aaron Walker","GVL","2022","DM","1181","0.06","-0.26","0.18","-0.25","0.31","0.35","0.40"
"","Leo Folla","NCO","2022","CB","980","0.10","0.03","-0.14","0.03","0.27","0.09","0.39"
"","Emiliano Terzaghi","RIC","2022","ST","1549","0.21","-0.14","0.11","0.85","-0.95","0.28","0.36"
"","Nate Shultz","GVL","2022","FB","1511","0.03","0.04","0.36","-0.08","0.08","-0.07","0.36"
"","Max Flick","NC","2022","FB","335","0.04","-0.03","0.12","0.17","0.05","0.01","0.36"
"","Venton Evans","GVL","2022","W","846","-0.03","-0.03","-0.03","-0.50","0.55","0.38","0.34"
"","Lucas Coutinho","GVL","2022","ST","790","0.28","-0.07","-0.03","0.75","-0.52","-0.08","0.34"
"","Stuart Ritchie","RIC","2022","FB","1252","0.33","0.06","-0.05","0.05","-0.01","-0.05","0.33"
"","Conor Doyle","OMA","2022","CM","1306","0.03","-0.03","-0.04","0.95","-0.43","-0.19","0.29"
"","Ronald Alexis Cerritos","CV","2022","ST","233","0.60","0.02","0.02","-0.11","-0.23","-0.03","0.28"
"","Shalom Dutey","CLT","2022","CB","1396","0.13","-0.10","-0.16","-0.07","0.18","0.29","0.28"
"","Emir Alihodzic","OMA","2022","FB","697","0.07","-0.03","0.24","0.24","-0.18","-0.08","0.26"
"","Giovanni Montesdeoca","OMA","2022","ST","112","0.19","0.22","-0.01","-0.07","-0.01","-0.06","0.25"
"","Juan Galindrez","CHA","2022","ST","882","0.09","-0.10","0.04","-0.42","0.45","0.17","0.24"
"","Elijah Wynder","TUC","2022","CM","333","0.16","0.23","-0.09","-0.07","-0.00","-0.02","0.22"
"","Stephen Payne","RIC","2022","FB","1518","0.03","-0.03","0.45","-0.09","-0.08","-0.07","0.21"
"","Ayrton Paez","CLT","2022","W","279","-0.24","-0.02","-0.01","0.44","0.02","0.01","0.21"
"","Christopher Hegardt","CLT","2022","W","165","-0.04","0.14","0.01","0.09","-0.02","0.04","0.20"
"","Kemal Malcolm","OMA","2022","ST","578","0.24","-0.09","-0.10","-0.08","0.10","0.14","0.20"
"","Deri Corfe","TUC","2022","ST","624","-0.06","0.07","-0.09","0.04","0.13","0.09","0.19"
"","Cherif Dieye","CV","2022","W","555","0.12","-0.15","0.34","0.17","-0.27","-0.03","0.18"
"","Jeremiah Streng","MAD","2022","ST","737","-0.18","-0.05","-0.11","-0.26","0.71","0.06","0.17"
"","Tobias Otieno","TRM","2022","DM","196","-0.09","0.03","0.10","0.12","-0.02","0.02","0.17"
"","Derek Gebhard","MAD","2022","FB","804","-0.04","0.33","0.07","-0.28","0.05","0.03","0.16"
"","Quinn McNeill","CLT","2022","CM","971","0.19","0.01","-0.16","0.04","0.10","-0.03","0.15"
"","David Texeira","CHA","2022","ST","285","0.01","-0.03","0.02","-0.01","0.18","-0.02","0.15"
"","Giuseppe Barone","CLT","2022","FB","137","-0.02","0.25","-0.27","0.23","-0.02","-0.04","0.13"
