"","Team","Season","Games","PassF","PctF","xPctF","ScoreF","Per100F","VertF","PassA","PctA","xPctA","ScoreA","Per100A","VertA","ScoreDiff","VertDiff"
"","NCO","2022","16","6859","76.4%","75.4%","69.40","1.01","8.19","6137","74.7%","75.6%","-54.02","-0.88","9.48","123.42","-1.29"
"","TRM","2022","16","7509","75.5%","76.4%","-71.64","-0.95","8.36","6838","73.4%","75.7%","-155.27","-2.27","8.87","83.64","-0.51"
"","OMA","2022","13","4883","69.4%","70.8%","-66.47","-1.36","10.97","6470","76.5%","78.3%","-120.58","-1.86","7.87","54.11","3.10"
"","MAD","2022","15","7236","80.7%","80.5%","12.18","0.17","6.63","6534","77.9%","78.4%","-36.54","-0.56","7.42","48.72","-0.79"
"","TUC","2022","15","6940","78.6%","78.7%","-7.60","-0.11","7.49","6806","77.3%","77.7%","-21.25","-0.31","7.60","13.65","-0.11"
"","CV","2022","15","7044","77.9%","78.7%","-56.63","-0.80","7.51","6573","76.2%","77.1%","-63.95","-0.97","8.08","7.32","-0.57"
"","GVL","2022","17","7018","74.4%","74.7%","-19.44","-0.28","8.71","8477","80.0%","80.1%","-9.11","-0.11","6.77","-10.33","1.94"
"","NC","2022","15","6918","78.4%","79.3%","-64.94","-0.94","7.14","6281","74.7%","75.2%","-27.84","-0.44","8.14","-37.10","-1.00"
"","CHA","2022","16","6992","77.4%","78.1%","-47.25","-0.68","7.24","6316","74.2%","74.2%","-0.34","-0.01","8.79","-46.91","-1.55"
"","CLT","2022","16","7078","77.1%","77.8%","-49.75","-0.70","7.75","7196","78.5%","77.9%","40.58","0.56","7.35","-90.32","0.41"
"","RIC","2022","16","6555","74.2%","75.5%","-88.61","-1.35","8.59","7404","77.5%","76.7%","57.60","0.78","7.80","-146.21","0.79"
