"","Player","Team","Season","Minutes","Claiming","Fielding","Handling","Passing","Shotstopping","Sweeping","Goals Added"
"","Akira Fitzgerald","RIC","2022","1596","0.18","0.09","0.61","0.06","2.43","-0.37","2.99"
"","Paul Christensen","GVL","2022","1685","0.10","-0.76","0.24","0.16","2.70","0.35","2.79"
"","Noah Abrams","CLT","2022","99","0.01","0.01","-0.36","-0.04","1.80","0.01","1.42"
"","Raiko Arozarena","MAD","2022","98","0.02","0.01","0.09","0.02","1.14","0.02","1.30"
"","Adrián Zendejas","CLT","2022","903","0.06","-0.42","-0.10","0.06","1.43","0.01","1.05"
"","Rashid Nuhu","OMA","2022","1055","-0.12","0.12","0.06","0.26","0.77","-0.09","1.01"
"","Daniel Faundez","NCO","2022","100","-0.42","0.01","0.12","-0.01","0.83","-0.00","0.53"
"","Mitchell North","CV","2022","97","-0.15","0.02","0.02","0.04","0.34","-0.01","0.26"
"","Parker Smith","MAD","2022","103","0.00","0.01","0.07","0.01","0.01","-0.00","0.10"
"","TJ Bush","TRM","2022","96","0.00","0.00","0.00","-0.02","0.06","0.02","0.08"
"","Austin Causey","RIC","2022","3","0.00","0.00","0.00","0.00","0.00","0.00","0.01"
"","Taylor Bailey","MAD","2022","99","-0.00","0.01","-0.06","-0.03","0.01","0.01","-0.07"
"","Carlos Avilez","CHA","2022","1450","0.07","0.10","-0.03","0.05","-1.00","0.56","-0.24"
"","Ofek Antman","CV","2022","1410","0.21","0.05","0.37","0.03","-0.84","-0.14","-0.33"
"","Derrek Chan","CLT","2022","100","0.00","0.01","0.07","-0.11","-0.40","0.01","-0.42"
"","Nicholas Holliday","NC","2022","302","0.01","0.04","-0.00","-0.10","-0.91","0.02","-0.94"
"","Tor Saunders","CHA","2022","150","0.00","0.00","-0.06","-0.05","-1.14","0.01","-1.23"
"","Johan Penaranda","NCO","2022","547","-0.17","0.04","0.25","-0.17","-1.22","-0.06","-1.32"
"","Kevin Piedrahita","OMA","2022","251","0.02","0.01","-0.08","-0.05","-1.22","-0.03","-1.36"
"","Dane Jacomen","CLT","2022","198","0.04","0.01","0.04","-0.02","-2.57","0.02","-2.49"
"","Keegan Meyer","CLT","2022","305","0.09","0.03","0.08","-0.07","-2.92","0.01","-2.77"
"","Carlos Merancio Valdez","TUC","2022","1485","-0.02","0.12","0.07","0.12","-3.44","0.05","-3.12"
"","Thomas Olsen","NCO","2022","971","-0.03","0.08","0.15","0.12","-3.63","-0.43","-3.75"
"","Pablo Jara","TRM","2022","1493","-0.06","0.14","0.05","0.23","-4.53","0.13","-4.04"
"","Phil Breno","MAD","2022","1202","-0.05","0.10","0.32","-0.18","-4.56","0.05","-4.34"
"","Will Pulisic","NC","2022","1199","0.01","0.03","0.34","-0.12","-5.29","-0.49","-5.52"
