"","Player","Team","Season","Position","Minutes","Passes","Pass %","xPass %","Score","Per100","Distance","Vertical","Touch %","Games"
"","Arthur Rogers","NCO","2022","FB","1588","1010","72.9%","67.9%","50.35","4.99","23.57","8.41","13.6%","16"
"","Mitchell Osmond","MAD","2022","CB","1403","912","87.5%","83.8%","33.83","3.71","24.53","10.10","12.2%","14"
"","Daniel Bedoya","TUC","2022","CM","805","432","81.0%","76.9%","17.80","4.12","24.82","5.12","6.2%","14"
"","Luca Mastrantonio","TUC","2022","CB","1485","885","86.7%","84.7%","17.15","1.94","26.74","9.89","11.8%","15"
"","Clay Dimick","CLT","2022","CB","1590","812","82.3%","80.3%","15.98","1.97","21.46","7.02","10.3%","16"
"","Tyler Polak","GVL","2022","FB","1324","630","81.8%","79.2%","15.84","2.51","20.01","6.83","8.9%","16"
"","Sebastian Capozucchi","CHA","2022","CB","1050","523","85.7%","82.8%","15.21","2.91","21.85","7.38","9.1%","12"
"","Robert Cornwall","NCO","2022","CB","1409","710","82.3%","80.2%","14.54","2.05","25.45","9.98","11.1%","14"
"","Thomas Olsen","NCO","2022","GK","971","317","80.8%","76.5%","13.35","4.21","34.53","24.39","6.3%","10"
"","Cyrus Rad","MAD","2022","CB","920","551","82.4%","80.0%","13.12","2.38","23.82","10.19","8.3%","13"
"","Miguel Ibarra","CLT","2022","FB","1173","546","82.0%","79.8%","12.22","2.24","20.36","2.31","8.2%","14"
"","Kaelon Fox","TUC","2022","CB","971","496","86.7%","84.3%","12.10","2.44","25.02","8.97","9.7%","11"
"","Koa Santos","CLT","2022","FB","981","575","76.0%","73.9%","11.94","2.08","21.46","3.63","10.9%","11"
"","Jorge Luna","CHA","2022","CB","991","600","84.8%","83.2%","9.92","1.65","25.09","8.63","9.2%","13"
"","Ethan Vanacore-Decker","NCO","2022","W","559","181","84.5%","79.1%","9.84","5.43","19.12","-1.29","3.5%","12"
"","Christian Young","NC","2022","FB","1412","826","74.9%","73.8%","9.74","1.18","20.40","5.62","11.5%","15"
